DATE,IPG2211A2N
5/1/1999,79.6373
6/1/1999,88.1204
7/1/1999,97.7757
8/1/1999,96.7014
9/1/1999,87.4885
10/1/1999,80.8647
11/1/1999,82.4395
12/1/1999,94.7746
1/1/2000,102.4971
2/1/2000,94.5218
3/1/2000,88.3463
4/1/2000,81.6662
5/1/2000,84.7235
6/1/2000,91.3293
7/1/2000,96.3011
8/1/2000,99.6734
9/1/2000,90.9515
10/1/2000,83.378
11/1/2000,88.2458
12/1/2000,102.6901
1/1/2001,109.3416
2/1/2001,97.3953
3/1/2001,93.0564
4/1/2001,83.1332
5/1/2001,82.7827
6/1/2001,90.6648
7/1/2001,96.3283
8/1/2001,99.8132
9/1/2001,88.5136
10/1/2001,82.9006
11/1/2001,83.1461
12/1/2001,93.2796
1/1/2002,103.2604
2/1/2002,95.4593
3/1/2002,93.51
4/1/2002,86.0517
5/1/2002,85.5043
6/1/2002,93.4856
7/1/2002,102.6936
8/1/2002,101.9121
9/1/2002,93.5608
10/1/2002,87.1293
11/1/2002,88.8047
12/1/2002,101.0439
1/1/2003,110.4292
2/1/2003,104.0828
3/1/2003,94.8015
4/1/2003,85.3124
5/1/2003,85.7418
6/1/2003,91.3695
7/1/2003,102.5243
8/1/2003,104.7716
9/1/2003,93.1841
10/1/2003,86.7534
11/1/2003,88.828
12/1/2003,103.8162
1/1/2004,113.996
2/1/2004,106.4378
3/1/2004,95.6626
4/1/2004,86.9849
5/1/2004,89.324
6/1/2004,95.8104
7/1/2004,102.1007
8/1/2004,100.4992
9/1/2004,94.2998
10/1/2004,87.7732
11/1/2004,89.8297
12/1/2004,105.9787
1/1/2005,111.4496
2/1/2005,101.9498
3/1/2005,99.2324
4/1/2005,86.6793
5/1/2005,87.3784
6/1/2005,99.7382
7/1/2005,108.8005
8/1/2005,109.9901
9/1/2005,99.5563
10/1/2005,90.1695
11/1/2005,90.6297
12/1/2005,108.4977
1/1/2006,104.8128
2/1/2006,101.631
3/1/2006,98.6932
4/1/2006,87.7034
5/1/2006,90.2388
6/1/2006,100.7836
7/1/2006,111.3696
8/1/2006,111.9898
9/1/2006,96.1212
10/1/2006,90.6869
11/1/2006,92.5922
12/1/2006,103.3658
1/1/2007,112.3854
2/1/2007,112.1298
3/1/2007,99.469
4/1/2007,91.045
5/1/2007,92.3001
6/1/2007,101.2636
7/1/2007,107.9356
8/1/2007,114.5031
9/1/2007,101.8592
10/1/2007,93.282
11/1/2007,94.1475
12/1/2007,107.0407
1/1/2008,115.1666
2/1/2008,108.519
3/1/2008,100.7093
4/1/2008,91.2094
5/1/2008,91.4431
6/1/2008,104.1756
7/1/2008,111.08
8/1/2008,107.8943
9/1/2008,98.0097
10/1/2008,91.2397
11/1/2008,94.0321
12/1/2008,109.6583
1/1/2009,117.1041
2/1/2009,104.6585
3/1/2009,98.0044
4/1/2009,88.3217
5/1/2009,87.7293
6/1/2009,97.5535
7/1/2009,104.1673
8/1/2009,106.0048
9/1/2009,95.0942
10/1/2009,89.3811
11/1/2009,89.4576
12/1/2009,110.8777
1/1/2010,119.2473
2/1/2010,110.7525
3/1/2010,98.343
4/1/2010,86.2612
5/1/2010,90.8459
6/1/2010,104.4774
7/1/2010,113.1386
8/1/2010,113.255
9/1/2010,100.3372
10/1/2010,89.0653
11/1/2010,92.8343
12/1/2010,114.5367
1/1/2011,119.7475
2/1/2011,107.4965
3/1/2011,99.1848
4/1/2011,89.3568
5/1/2011,90.0903
6/1/2011,102.9273
7/1/2011,114.9326
8/1/2011,113.765
9/1/2011,99.5821
10/1/2011,90.3241
11/1/2011,93.7486
12/1/2011,107.3309
1/1/2012,111.8351
2/1/2012,103.3433
3/1/2012,93.4051
4/1/2012,87.4539
5/1/2012,92.7704
6/1/2012,101.2446
7/1/2012,113.3866
8/1/2012,110.1671
9/1/2012,96.9014
10/1/2012,90.2609
11/1/2012,94.2111
12/1/2012,105.0203
1/1/2013,115.2323
2/1/2013,106.4512
3/1/2013,102.6701
4/1/2013,90.6136
5/1/2013,90.7
6/1/2013,100.6631
7/1/2013,110.3583
8/1/2013,108.4228
9/1/2013,99.3427
10/1/2013,91.6671
11/1/2013,96.9845
12/1/2013,113.3465
1/1/2014,124.0216
2/1/2014,112.6796
3/1/2014,104.4158
4/1/2014,89.8017
5/1/2014,91.861
6/1/2014,101.6422
7/1/2014,108.633
8/1/2014,108.3892
9/1/2014,100.4238
10/1/2014,92.1366
11/1/2014,99.1114
12/1/2014,108.9783
1/1/2015,119.9317
2/1/2015,116.1393
3/1/2015,104.0218
4/1/2015,89.1544
5/1/2015,90.695
6/1/2015,102.8863
7/1/2015,111.9826
8/1/2015,110.7643
9/1/2015,101.7996
10/1/2015,90.9888
11/1/2015,92.2113
12/1/2015,102.3222
1/1/2016,116.8926
2/1/2016,105.9614
3/1/2016,94.2339
4/1/2016,88.1615
5/1/2016,89.4711
6/1/2016,103.4258
7/1/2016,114.1946
8/1/2016,115.5015
9/1/2016,102.2398
10/1/2016,90.8499
11/1/2016,92.6032
12/1/2016,114.0219
1/1/2017,116.4746
2/1/2017,99.5393
3/1/2017,101.0063
4/1/2017,87.0374
5/1/2017,90.3591
6/1/2017,100.4412
7/1/2017,111.2371
8/1/2017,107.7583
9/1/2017,97.0813
10/1/2017,92.302
11/1/2017,97.7214
12/1/2017,117.2377
1/1/2018,128.9071
2/1/2018,107.6711
3/1/2018,104.5716
4/1/2018,93.4491
5/1/2018,93.2405
6/1/2018,103.3083
7/1/2018,113.3178
8/1/2018,113.2758
9/1/2018,101.5656
10/1/2018,95.3203
11/1/2018,103.575
12/1/2018,112.9498
1/1/2019,123.7687
