age,sex,education,education-num,marital-status,workclass,occupation,hours-per-week,income,label
19,Female,HS-grad,9,Never-married,Private,Other-service,20,<=50K,0
27,Male,HS-grad,9,Never-married,Private,Other-service,40,<=50K,0
46,Male,Some-college,10,Married,Private,Exec-managerial,60,>50K,1
34,Male,Masters,14,Married,Private,Prof-specialty,43,>50K,1
19,Female,HS-grad,9,Never-married,Private,Other-service,40,<=50K,0
53,Female,Some-college,10,Separated,Federal-gov,Adm-clerical,40,<=50K,0
27,Male,5th-6th,3,Married,Private,Other-service,52,<=50K,0
33,Male,Assoc-acdm,12,Never-married,Private,Adm-clerical,50,<=50K,0
19,Male,HS-grad,9,Never-married,Private,Sales,45,<=50K,0
43,Male,Bachelors,13,Married,Private,Prof-specialty,48,>50K,1
54,Female,HS-grad,9,Divorced,Private,Other-service,40,<=50K,0
34,Female,Some-college,10,Never-married,Private,Adm-clerical,40,<=50K,0
22,Female,Assoc-acdm,12,Never-married,Private,Adm-clerical,25,<=50K,0
21,Male,HS-grad,9,Never-married,Private,Other-service,40,<=50K,0
38,Male,HS-grad,9,Never-married,Local-gov,Other-service,20,<=50K,0
28,Male,Assoc-voc,11,Never-married,Private,Handlers-cleaners,45,<=50K,0
31,Male,HS-grad,9,Married,Local-gov,Protective-serv,40,>50K,1
44,Female,Bachelors,13,Never-married,Private,Adm-clerical,37,<=50K,0
18,Female,HS-grad,9,Never-married,Private,Adm-clerical,20,<=50K,0
21,Female,HS-grad,9,Never-married,Private,Adm-clerical,40,<=50K,0
27,Male,HS-grad,9,Married,Private,Machine-op-inspct,40,<=50K,0
20,Male,HS-grad,9,Never-married,Private,Other-service,40,<=50K,0
46,Male,9th,5,Married,Self-emp,Transport-moving,40,<=50K,0
21,Male,Some-college,10,Never-married,Private,Sales,40,<=50K,0
39,Male,HS-grad,9,Never-married,Private,Exec-managerial,42,<=50K,0
30,Female,Bachelors,13,Never-married,Private,Sales,40,<=50K,0
21,Male,HS-grad,9,Never-married,Private,Other-service,35,<=50K,0
28,Male,Bachelors,13,Married,Private,Sales,40,>50K,1
23,Female,Bachelors,13,Never-married,Private,Adm-clerical,38,<=50K,0
40,Female,HS-grad,9,Separated,Private,Other-service,40,<=50K,0
20,Female,HS-grad,9,Never-married,Local-gov,Adm-clerical,30,<=50K,0
43,Male,Some-college,10,Married,Private,Exec-managerial,40,<=50K,0
24,Female,Some-college,10,Never-married,Local-gov,Adm-clerical,48,<=50K,0
36,Male,Masters,14,Married,Private,Exec-managerial,50,>50K,1
24,Male,Some-college,10,Never-married,State-gov,Other-service,40,<=50K,0
31,Female,Some-college,10,Never-married,Private,Adm-clerical,35,<=50K,0
24,Female,Masters,14,Never-married,Private,Prof-specialty,40,<=50K,0
23,Male,Some-college,10,Married,Private,Transport-moving,40,<=50K,0
21,Male,HS-grad,9,Never-married,Private,Machine-op-inspct,40,<=50K,0
29,Male,Assoc-voc,11,Never-married,Private,Machine-op-inspct,40,<=50K,0
23,Male,Bachelors,13,Never-married,Private,Exec-managerial,24,<=50K,0
50,Male,Some-college,10,Married,State-gov,Adm-clerical,40,>50K,1
30,Male,HS-grad,9,Married,Private,Tech-support,40,<=50K,0
30,Male,Bachelors,13,Never-married,Federal-gov,Prof-specialty,40,<=50K,0
20,Male,Some-college,10,Never-married,Private,Machine-op-inspct,25,<=50K,0
44,Male,Masters,14,Married,Private,Exec-managerial,40,>50K,1
52,Male,HS-grad,9,Married,Private,Craft-repair,40,>50K,1
43,Female,10th,6,Separated,Private,Other-service,40,<=50K,0
39,Female,Some-college,10,Divorced,Private,Machine-op-inspct,40,<=50K,0
21,Male,HS-grad,9,Never-married,Private,Craft-repair,40,<=50K,0
28,Female,Some-college,10,Never-married,Private,Adm-clerical,40,<=50K,0
42,Female,HS-grad,9,Never-married,Private,Sales,40,<=50K,0
46,Male,Bachelors,13,Divorced,Private,Prof-specialty,45,>50K,1
23,Male,HS-grad,9,Never-married,State-gov,Other-service,40,<=50K,0
42,Male,HS-grad,9,Married,Private,Transport-moving,50,>50K,1
45,Male,9th,5,Married,Self-emp,Farming-fishing,40,<=50K,0
51,Male,Masters,14,Married,Federal-gov,Prof-specialty,40,>50K,1
41,Male,Bachelors,13,Married,Private,Exec-managerial,55,>50K,1
28,Female,HS-grad,9,Never-married,Private,Machine-op-inspct,50,<=50K,0
19,Female,Some-college,10,Never-married,Private,Adm-clerical,20,<=50K,0
57,Male,HS-grad,9,Married,Private,Transport-moving,40,>50K,1
29,Male,Bachelors,13,Married,Private,Exec-managerial,40,<=50K,0
37,Male,5th-6th,3,Married,Private,Machine-op-inspct,40,<=50K,0
66,Male,Assoc-acdm,12,Married,Private,Machine-op-inspct,40,>50K,1
33,Male,Some-college,10,Married,Private,Craft-repair,50,>50K,1
23,Female,HS-grad,9,Divorced,Private,Adm-clerical,40,<=50K,0
53,Male,Bachelors,13,Married,Private,Adm-clerical,40,>50K,1
19,Female,Some-college,10,Never-married,Private,Adm-clerical,20,<=50K,0
20,Male,HS-grad,9,Never-married,Private,Handlers-cleaners,40,<=50K,0
26,Male,HS-grad,9,Never-married,Private,Other-service,40,<=50K,0
25,Female,HS-grad,9,Never-married,Private,Adm-clerical,50,<=50K,0
50,Female,HS-grad,9,Divorced,Private,Adm-clerical,35,<=50K,0
24,Female,Assoc-voc,11,Never-married,Private,Adm-clerical,40,<=50K,0
48,Male,HS-grad,9,Married,Private,Sales,60,<=50K,0
22,Male,Some-college,10,Never-married,Private,Adm-clerical,35,<=50K,0
36,Female,HS-grad,9,Separated,Private,Adm-clerical,40,<=50K,0
36,Male,Masters,14,Married,Private,Exec-managerial,40,>50K,1
24,Male,Some-college,10,Never-married,Private,Other-service,30,<=50K,0
28,Male,Prof-school,15,Married,Private,Prof-specialty,60,<=50K,0
37,Female,12th,8,Never-married,Private,Other-service,40,<=50K,0
60,Male,Some-college,10,Married,Self-emp,Transport-moving,46,<=50K,0
47,Female,Some-college,10,Never-married,Private,Adm-clerical,40,<=50K,0
36,Male,Masters,14,Married,Self-emp,Farming-fishing,70,<=50K,0
29,Male,Bachelors,13,Never-married,Private,Craft-repair,40,<=50K,0
46,Male,Masters,14,Married,Local-gov,Prof-specialty,38,>50K,1
49,Male,Bachelors,13,Married,State-gov,Prof-specialty,50,>50K,1
33,Male,HS-grad,9,Never-married,Private,Machine-op-inspct,55,<=50K,0
21,Male,10th,6,Married,Private,Other-service,40,<=50K,0
27,Female,HS-grad,9,Never-married,Private,Other-service,30,<=50K,0
58,Male,Some-college,10,Married,Private,Sales,60,>50K,1
25,Male,Some-college,10,Never-married,Private,Other-service,48,<=50K,0
23,Female,Bachelors,13,Never-married,Local-gov,Prof-specialty,40,<=50K,0
23,Female,Bachelors,13,Never-married,Private,Sales,25,<=50K,0
24,Female,Some-college,10,Never-married,Private,Other-service,20,<=50K,0
30,Female,Assoc-voc,11,Never-married,State-gov,Prof-specialty,40,<=50K,0
23,Male,Some-college,10,Married,Private,Handlers-cleaners,40,<=50K,0
37,Female,Bachelors,13,Never-married,Private,Adm-clerical,40,<=50K,0
29,Male,Bachelors,13,Never-married,Private,Other-service,35,<=50K,0
31,Male,HS-grad,9,Married,Private,Craft-repair,45,<=50K,0
46,Male,HS-grad,9,Married,Local-gov,Craft-repair,40,<=50K,0
44,Male,HS-grad,9,Married,Private,Farming-fishing,70,<=50K,0
21,Female,HS-grad,9,Never-married,Private,Machine-op-inspct,40,<=50K,0
32,Male,Assoc-voc,11,Married-spouse-absent,Local-gov,Craft-repair,40,<=50K,0
28,Female,Assoc-acdm,12,Never-married,State-gov,Adm-clerical,40,<=50K,0
38,Male,Bachelors,13,Married,Private,Prof-specialty,50,>50K,1
55,Female,HS-grad,9,Divorced,Private,Other-service,40,<=50K,0
48,Male,Bachelors,13,Married,Private,Prof-specialty,42,>50K,1
28,Male,Bachelors,13,Married,Private,Prof-specialty,43,<=50K,0
23,Male,HS-grad,9,Married,Private,Handlers-cleaners,27,<=50K,0
28,Female,Assoc-voc,11,Never-married,Private,Machine-op-inspct,42,<=50K,0
37,Male,11th,7,Married,Private,Craft-repair,25,<=50K,0
28,Male,Some-college,10,Married,Private,Craft-repair,60,>50K,1
37,Female,7th-8th,4,Divorced,Private,Sales,44,<=50K,0
24,Male,HS-grad,9,Never-married,Private,Adm-clerical,40,<=50K,0
36,Female,Some-college,10,Never-married,Private,Adm-clerical,40,<=50K,0
19,Female,Some-college,10,Never-married,Private,Sales,30,<=50K,0
39,Male,HS-grad,9,Separated,Private,Machine-op-inspct,40,<=50K,0
33,Female,HS-grad,9,Never-married,Federal-gov,Exec-managerial,40,<=50K,0
39,Male,Some-college,10,Never-married,Private,Sales,40,<=50K,0
21,Female,Some-college,10,Never-married,Private,Adm-clerical,20,<=50K,0
30,Male,Some-college,10,Never-married,Private,Craft-repair,44,<=50K,0
38,Female,HS-grad,9,Married,State-gov,Adm-clerical,40,<=50K,0
26,Male,Some-college,10,Never-married,Private,Other-service,60,<=50K,0
33,Female,Assoc-voc,11,Married,Self-emp,Prof-specialty,50,>50K,1
49,Male,Masters,14,Married,Private,Prof-specialty,43,>50K,1
31,Male,Bachelors,13,Married,Private,Sales,65,<=50K,0
48,Male,Some-college,10,Separated,Private,Craft-repair,40,<=50K,0
25,Male,Some-college,10,Never-married,State-gov,Transport-moving,40,<=50K,0
34,Female,11th,7,Never-married,Private,Sales,65,<=50K,0
30,Male,HS-grad,9,Separated,Private,Handlers-cleaners,40,<=50K,0
44,Male,HS-grad,9,Never-married,Private,Other-service,40,<=50K,0
32,Male,Bachelors,13,Never-married,Private,Sales,32,<=50K,0
20,Male,Some-college,10,Never-married,Private,Handlers-cleaners,40,<=50K,0
36,Male,Bachelors,13,Married,Private,Prof-specialty,45,>50K,1
67,Female,9th,5,Divorced,Private,Adm-clerical,20,<=50K,0
28,Male,Prof-school,15,Divorced,Private,Prof-specialty,55,<=50K,0
33,Male,11th,7,Never-married,Private,Transport-moving,60,<=50K,0
21,Female,Some-college,10,Never-married,Private,Other-service,30,<=50K,0
46,Female,Bachelors,13,Widowed,Private,Adm-clerical,25,<=50K,0
22,Male,11th,7,Never-married,Private,Craft-repair,40,<=50K,0
30,Male,HS-grad,9,Never-married,Private,Transport-moving,40,<=50K,0
38,Male,HS-grad,9,Never-married,Local-gov,Craft-repair,40,<=50K,0
19,Female,HS-grad,9,Never-married,Private,Other-service,45,<=50K,0
18,Male,HS-grad,9,Never-married,Private,Other-service,35,<=50K,0
22,Male,Some-college,10,Never-married,Private,Protective-serv,40,<=50K,0
61,Male,HS-grad,9,Divorced,Private,Other-service,40,<=50K,0
23,Male,11th,7,Never-married,Private,Craft-repair,30,<=50K,0
30,Male,Bachelors,13,Married,Private,Prof-specialty,35,>50K,1
23,Female,10th,6,Never-married,Private,Other-service,40,<=50K,0
41,Male,9th,5,Married,Private,Other-service,55,<=50K,0
39,Male,HS-grad,9,Married,Private,Adm-clerical,40,>50K,1
23,Male,Some-college,10,Never-married,Private,Sales,40,<=50K,0
56,Male,HS-grad,9,Married,Self-emp,Exec-managerial,84,<=50K,0
42,Female,Some-college,10,Never-married,Private,Machine-op-inspct,40,<=50K,0
24,Male,Some-college,10,Never-married,Private,Tech-support,40,<=50K,0
25,Female,HS-grad,9,Never-married,Private,Adm-clerical,40,<=50K,0
68,Male,Doctorate,16,Married,Self-emp,Prof-specialty,50,<=50K,0
40,Male,Bachelors,13,Married,Private,Exec-managerial,50,<=50K,0
47,Female,HS-grad,9,Divorced,Private,Machine-op-inspct,30,<=50K,0
22,Female,Some-college,10,Never-married,Private,Adm-clerical,40,<=50K,0
41,Female,Masters,14,Divorced,Private,Exec-managerial,40,<=50K,0
59,Male,Some-college,10,Married,Local-gov,Craft-repair,40,<=50K,0
27,Female,Some-college,10,Never-married,Private,Adm-clerical,39,<=50K,0
39,Male,Some-college,10,Divorced,Private,Machine-op-inspct,40,<=50K,0
59,Female,Bachelors,13,Divorced,Local-gov,Adm-clerical,45,<=50K,0
25,Female,HS-grad,9,Never-married,Private,Machine-op-inspct,40,<=50K,0
33,Male,Bachelors,13,Never-married,Private,Prof-specialty,50,>50K,1
38,Female,Some-college,10,Divorced,Federal-gov,Adm-clerical,40,<=50K,0
67,Female,HS-grad,9,Never-married,Private,Adm-clerical,38,<=50K,0
36,Female,Bachelors,13,Married,Private,Prof-specialty,35,>50K,1
37,Female,HS-grad,9,Divorced,Private,Other-service,50,<=50K,0
23,Male,12th,8,Married,Private,Craft-repair,40,<=50K,0
53,Male,HS-grad,9,Married,Self-emp,Sales,40,>50K,1
43,Female,HS-grad,9,Married,Private,Sales,20,<=50K,0
25,Male,Some-college,10,Never-married,Private,Exec-managerial,40,<=50K,0
21,Male,10th,6,Married,Private,Farming-fishing,30,<=50K,0
26,Male,HS-grad,9,Married,Private,Prof-specialty,40,<=50K,0
36,Female,Some-college,10,Married,Private,Exec-managerial,35,>50K,1
35,Male,Bachelors,13,Married,Private,Exec-managerial,45,>50K,1
19,Male,HS-grad,9,Never-married,Private,Handlers-cleaners,50,<=50K,0
59,Male,Masters,14,Married,Private,Exec-managerial,45,>50K,1
33,Male,Bachelors,13,Married,Self-emp,Sales,65,<=50K,0
38,Female,Some-college,10,Never-married,Local-gov,Protective-serv,40,<=50K,0
36,Female,HS-grad,9,Never-married,Private,Adm-clerical,40,<=50K,0
42,Male,HS-grad,9,Never-married,Private,Sales,60,>50K,1
46,Male,Masters,14,Married,Local-gov,Prof-specialty,40,>50K,1
23,Female,11th,7,Never-married,Private,Farming-fishing,40,<=50K,0
54,Female,7th-8th,4,Divorced,Private,Adm-clerical,40,<=50K,0
21,Male,HS-grad,9,Never-married,Private,Other-service,40,<=50K,0
42,Male,Bachelors,13,Married,Local-gov,Adm-clerical,45,>50K,1
56,Male,Some-college,10,Separated,Federal-gov,Other-service,40,<=50K,0
32,Male,Assoc-voc,11,Married,Self-emp,Craft-repair,40,<=50K,0
58,Male,Bachelors,13,Married,Private,Sales,55,>50K,1
19,Female,HS-grad,9,Married-spouse-absent,Private,Other-service,35,<=50K,0
51,Male,Bachelors,13,Married,Private,Prof-specialty,40,>50K,1
38,Male,Bachelors,13,Married,Private,Exec-managerial,40,<=50K,0
64,Male,Bachelors,13,Married,Self-emp,Exec-managerial,35,>50K,1
18,Male,Some-college,10,Never-married,Private,Other-service,20,<=50K,0
33,Female,Bachelors,13,Never-married,Private,Sales,40,<=50K,0
25,Male,Some-college,10,Never-married,Private,Craft-repair,40,<=50K,0
42,Female,HS-grad,9,Divorced,Federal-gov,Adm-clerical,40,<=50K,0
23,Male,HS-grad,9,Never-married,Private,Craft-repair,40,<=50K,0
57,Male,Some-college,10,Married,Private,Exec-managerial,45,>50K,1
51,Male,Bachelors,13,Married,Private,Adm-clerical,50,<=50K,0
39,Male,Masters,14,Married,Self-emp,Craft-repair,55,>50K,1
22,Male,HS-grad,9,Never-married,Private,Adm-clerical,20,<=50K,0
25,Male,HS-grad,9,Never-married,Private,Handlers-cleaners,45,<=50K,0
29,Male,Assoc-voc,11,Married,Private,Craft-repair,40,>50K,1
67,Female,HS-grad,9,Widowed,Self-emp,Other-service,20,<=50K,0
36,Male,Some-college,10,Married,Self-emp,Sales,55,<=50K,0
29,Female,HS-grad,9,Married,Private,Other-service,40,<=50K,0
34,Male,Masters,14,Never-married,Private,Prof-specialty,40,<=50K,0
55,Male,Bachelors,13,Married,Local-gov,Prof-specialty,40,>50K,1
45,Male,HS-grad,9,Married,Self-emp,Sales,55,<=50K,0
46,Male,Some-college,10,Married,Local-gov,Protective-serv,70,>50K,1
27,Male,10th,6,Married,Private,Handlers-cleaners,40,<=50K,0
53,Female,Masters,14,Divorced,Private,Prof-specialty,38,<=50K,0
42,Male,Assoc-voc,11,Married,Private,Craft-repair,40,<=50K,0
44,Female,Assoc-voc,11,Divorced,Local-gov,Protective-serv,40,<=50K,0
30,Male,HS-grad,9,Divorced,Self-emp,Exec-managerial,40,<=50K,0
31,Male,Bachelors,13,Never-married,Private,Prof-specialty,35,<=50K,0
29,Male,HS-grad,9,Married-spouse-absent,Private,Tech-support,40,<=50K,0
19,Male,11th,7,Never-married,Private,Other-service,20,<=50K,0
58,Male,Prof-school,15,Divorced,Self-emp,Prof-specialty,70,>50K,1
37,Male,HS-grad,9,Never-married,Private,Craft-repair,40,<=50K,0
35,Male,Masters,14,Married,Private,Adm-clerical,45,>50K,1
34,Female,Masters,14,Widowed,Local-gov,Prof-specialty,40,<=50K,0
41,Male,Bachelors,13,Married,Private,Prof-specialty,45,>50K,1
43,Male,HS-grad,9,Married,Self-emp,Craft-repair,20,<=50K,0
64,Male,10th,6,Married,Private,Protective-serv,40,<=50K,0
58,Male,Bachelors,13,Married,Private,Exec-managerial,50,>50K,1
30,Female,HS-grad,9,Never-married,Private,Adm-clerical,40,<=50K,0
41,Male,Bachelors,13,Married,Private,Sales,45,>50K,1
32,Male,HS-grad,9,Never-married,Self-emp,Craft-repair,40,<=50K,0
37,Male,Masters,14,Married,Private,Prof-specialty,45,<=50K,0
24,Male,Some-college,10,Never-married,Private,Machine-op-inspct,30,<=50K,0
21,Male,HS-grad,9,Never-married,Private,Adm-clerical,40,<=50K,0
51,Male,HS-grad,9,Married,Local-gov,Protective-serv,40,>50K,1
45,Male,Prof-school,15,Married,Private,Prof-specialty,50,>50K,1
32,Female,Some-college,10,Married,Private,Other-service,36,<=50K,0
50,Male,Bachelors,13,Married,Private,Sales,45,>50K,1
30,Male,HS-grad,9,Married-spouse-absent,Private,Adm-clerical,40,<=50K,0
42,Male,Doctorate,16,Married,Private,Prof-specialty,50,>50K,1
42,Male,HS-grad,9,Divorced,Private,Sales,47,<=50K,0
28,Male,Some-college,10,Never-married,Private,Craft-repair,40,<=50K,0
35,Male,Some-college,10,Married,Private,Sales,48,>50K,1
29,Male,Assoc-voc,11,Never-married,Private,Craft-repair,40,<=50K,0
28,Female,11th,7,Never-married,Private,Handlers-cleaners,20,<=50K,0
30,Male,HS-grad,9,Married,Local-gov,Adm-clerical,40,<=50K,0
40,Female,Some-college,10,Never-married,State-gov,Adm-clerical,49,<=50K,0
65,Female,HS-grad,9,Divorced,Self-emp,Sales,40,<=50K,0
27,Male,Some-college,10,Never-married,Private,Adm-clerical,40,<=50K,0
53,Male,HS-grad,9,Married,Local-gov,Transport-moving,40,>50K,1
51,Male,Doctorate,16,Married,Self-emp,Prof-specialty,40,>50K,1
42,Male,Prof-school,15,Divorced,Self-emp,Prof-specialty,40,>50K,1
33,Female,Some-college,10,Divorced,Private,Exec-managerial,40,<=50K,0
34,Male,Assoc-voc,11,Married,Private,Machine-op-inspct,50,<=50K,0
22,Female,Bachelors,13,Never-married,Private,Sales,60,<=50K,0
56,Male,Bachelors,13,Married,Private,Prof-specialty,50,<=50K,0
38,Female,11th,7,Married,Private,Adm-clerical,32,<=50K,0
41,Female,HS-grad,9,Married,Private,Sales,20,<=50K,0
45,Male,Assoc-voc,11,Married,Private,Craft-repair,76,<=50K,0
34,Male,Bachelors,13,Married,Private,Prof-specialty,40,>50K,1
50,Female,Masters,14,Married,Local-gov,Prof-specialty,40,>50K,1
54,Male,HS-grad,9,Married,Private,Exec-managerial,55,>50K,1
24,Female,HS-grad,9,Never-married,Private,Other-service,40,<=50K,0
26,Male,Bachelors,13,Never-married,Private,Other-service,30,<=50K,0
31,Female,Some-college,10,Divorced,Private,Machine-op-inspct,35,<=50K,0
18,Female,Some-college,10,Never-married,Private,Prof-specialty,40,<=50K,0
23,Female,Some-college,10,Never-married,Local-gov,Adm-clerical,20,<=50K,0
30,Female,Some-college,10,Never-married,Private,Adm-clerical,40,<=50K,0
49,Male,HS-grad,9,Married,Private,Craft-repair,40,<=50K,0
19,Male,Some-college,10,Never-married,Private,Machine-op-inspct,40,<=50K,0
34,Male,HS-grad,9,Divorced,Private,Prof-specialty,40,<=50K,0
33,Female,HS-grad,9,Separated,Private,Handlers-cleaners,40,<=50K,0
34,Male,Bachelors,13,Never-married,Private,Adm-clerical,40,<=50K,0
55,Female,HS-grad,9,Widowed,Private,Machine-op-inspct,44,<=50K,0
18,Male,10th,6,Never-married,Private,Farming-fishing,27,<=50K,0
62,Female,HS-grad,9,Never-married,Private,Adm-clerical,32,<=50K,0
25,Male,Bachelors,13,Never-married,Private,Prof-specialty,40,<=50K,0
34,Male,Bachelors,13,Married,Private,Exec-managerial,45,<=50K,0
43,Male,Masters,14,Never-married,State-gov,Prof-specialty,45,<=50K,0
23,Female,Some-college,10,Never-married,Private,Sales,40,<=50K,0
23,Male,HS-grad,9,Never-married,Private,Transport-moving,40,<=50K,0
37,Female,HS-grad,9,Divorced,Private,Machine-op-inspct,40,<=50K,0
29,Male,11th,7,Never-married,Private,Machine-op-inspct,48,<=50K,0
25,Male,Bachelors,13,Never-married,Private,Prof-specialty,60,<=50K,0
22,Female,HS-grad,9,Never-married,Private,Other-service,32,<=50K,0
31,Male,Some-college,10,Married,Private,Sales,45,>50K,1
41,Male,Doctorate,16,Married,Self-emp,Prof-specialty,70,>50K,1
34,Male,HS-grad,9,Married,Private,Craft-repair,48,>50K,1
48,Male,Some-college,10,Married,Self-emp,Exec-managerial,55,>50K,1
42,Male,Masters,14,Divorced,State-gov,Exec-managerial,45,<=50K,0
65,Female,HS-grad,9,Divorced,Private,Adm-clerical,59,<=50K,0
41,Female,Some-college,10,Divorced,Local-gov,Other-service,24,<=50K,0
26,Female,HS-grad,9,Divorced,Local-gov,Adm-clerical,25,<=50K,0
27,Male,Some-college,10,Separated,Private,Sales,40,<=50K,0
29,Male,HS-grad,9,Never-married,Private,Exec-managerial,40,<=50K,0
23,Male,Assoc-acdm,12,Never-married,Private,Craft-repair,40,<=50K,0
21,Male,11th,7,Never-married,Private,Handlers-cleaners,45,<=50K,0
41,Male,Bachelors,13,Married,Private,Prof-specialty,55,>50K,1
29,Female,Assoc-voc,11,Never-married,Federal-gov,Prof-specialty,40,<=50K,0
28,Male,Bachelors,13,Never-married,Private,Tech-support,40,<=50K,0
50,Male,Masters,14,Married,Private,Exec-managerial,65,>50K,1
45,Male,Some-college,10,Married,Private,Sales,60,>50K,1
39,Female,Some-college,10,Never-married,Private,Farming-fishing,40,<=50K,0
27,Female,HS-grad,9,Married,Self-emp,Other-service,35,<=50K,0
63,Female,Some-college,10,Divorced,Private,Other-service,40,<=50K,0
27,Male,Bachelors,13,Never-married,Private,Adm-clerical,40,<=50K,0
27,Male,9th,5,Never-married,Private,Other-service,50,<=50K,0
44,Male,Assoc-voc,11,Divorced,Local-gov,Tech-support,40,<=50K,0
28,Female,HS-grad,9,Never-married,Private,Other-service,52,<=50K,0
39,Female,HS-grad,9,Never-married,Self-emp,Craft-repair,20,<=50K,0
32,Female,Some-college,10,Married,Private,Exec-managerial,40,>50K,1
32,Female,HS-grad,9,Divorced,Private,Machine-op-inspct,40,<=50K,0
32,Male,Bachelors,13,Married,Local-gov,Prof-specialty,45,<=50K,0
26,Male,HS-grad,9,Never-married,Private,Adm-clerical,40,<=50K,0
40,Female,HS-grad,9,Divorced,Private,Tech-support,40,<=50K,0
55,Male,Some-college,10,Married,Private,Craft-repair,40,>50K,1
34,Female,Bachelors,13,Never-married,Private,Exec-managerial,55,>50K,1
31,Male,10th,6,Married,Self-emp,Craft-repair,35,<=50K,0
37,Female,HS-grad,9,Married,Private,Other-service,35,<=50K,0
30,Male,9th,5,Married,Federal-gov,Tech-support,40,<=50K,0
37,Female,Bachelors,13,Married,Self-emp,Prof-specialty,40,>50K,1
24,Male,Some-college,10,Married,Private,Protective-serv,24,<=50K,0
33,Female,Some-college,10,Never-married,Private,Exec-managerial,40,<=50K,0
49,Female,HS-grad,9,Married,Self-emp,Sales,60,<=50K,0
31,Male,10th,6,Married,Private,Transport-moving,50,<=50K,0
34,Female,Assoc-acdm,12,Married,Private,Adm-clerical,40,>50K,1
45,Male,Assoc-acdm,12,Married,Private,Craft-repair,66,<=50K,0
30,Male,HS-grad,9,Married,Private,Machine-op-inspct,40,<=50K,0
30,Male,Bachelors,13,Married,Private,Exec-managerial,40,>50K,1
